СТАНЦИЯ,дата,Значение
Беспонтовая,2024-01-01,706.4723761935227
Беспонтовая,2024-01-02,761.2241907429318
Беспонтовая,2024-01-03,808.2495853883943
Беспонтовая,2024-01-04,847.5931518140578
Беспонтовая,2024-01-05,875.0384968218428
Беспонтовая,2024-01-06,911.7368219079488
Беспонтовая,2024-01-07,940.0054252858342
Беспонтовая,2024-01-08,942.8353400184205
Беспонтовая,2024-01-09,969.0259444809869
Беспонтовая,2024-01-10,987.0256327717658
Беспонтовая,2024-01-11,997.3803396300303
Беспонтовая,2024-01-12,996.3479974662407
Беспонтовая,2024-01-13,1005.5181323457487
Беспонтовая,2024-01-14,1007.6025207839405
Беспонтовая,2024-01-15,985.9362785668095
Беспонтовая,2024-01-16,989.6073392420942
Беспонтовая,2024-01-17,987.2934927535955
Беспонтовая,2024-01-18,979.7088216773996
Беспонтовая,2024-01-19,963.217615300176
Беспонтовая,2024-01-20,959.454931512756
Беспонтовая,2024-01-21,951.119653800761
Беспонтовая,2024-01-22,921.4793050261825
Беспонтовая,2024-01-23,919.5044348349173
Беспонтовая,2024-01-24,913.7115834763072
Беспонтовая,2024-01-25,904.6164699950818
Беспонтовая,2024-01-26,888.3552792675471
Беспонтовая,2024-01-27,886.3130017099061
Беспонтовая,2024-01-28,880.9244524558662
Беспонтовая,2024-01-29,855.1870129318304
Беспонтовая,2024-01-30,857.8027004907833
Беспонтовая,2024-01-31,857.0283708689517
Беспонтовая,2024-02-01,853.1355216314691
Беспонтовая,2024-02-02,842.0374139916863
Беспонтовая,2024-02-03,844.9223362022981
Беспонтовая,2024-02-04,844.0585340912892
Беспонтовая,2024-02-05,822.3097819126298
Беспонтовая,2024-02-06,828.2791620274421
Беспонтовая,2024-02-07,830.1598538493765
Беспонтовая,2024-02-08,828.1944279895963
Беспонтовая,2024-02-09,818.300421242103
Беспонтовая,2024-02-10,821.7011019153515
Беспонтовая,2024-02-11,820.7270622627775
Беспонтовая,2024-02-12,798.3277434102724
Беспонтовая,2024-02-13,803.2106102336378
Беспонтовая,2024-02-14,803.6869375388515
Беспонтовая,2024-02-15,800.1258714080907
Беспонтовая,2024-02-16,788.574711216817
Беспонтовая,2024-02-17,790.3844886148877
Беспонтовая,2024-02-18,788.0066390974454
Беспонтовая,2024-02-19,764.5000180393096
Беспонтовая,2024-02-20,768.6661086649643
Беспонтовая,2024-02-21,768.891493405162
Беспонтовая,2024-02-22,765.5993398415068
Беспонтовая,2024-02-23,754.8679092353598
Беспонтовая,2024-02-24,758.0552002390732
Беспонтовая,2024-02-25,757.5955330214085
Беспонтовая,2024-02-26,736.5073088515056
Беспонтовая,2024-02-27,743.5297504170309
Беспонтовая,2024-02-28,746.9676285404206
Беспонтовая,2024-02-29,747.1456395959794
Беспонтовая,2024-03-01,740.0303366458425
Беспонтовая,2024-03-02,746.8586073866543
Беспонтовая,2024-03-03,749.9383740043781
Беспонтовая,2024-03-04,732.1606133870324
Беспонтовая,2024-03-05,742.1403642035023
Беспонтовая,2024-03-06,748.0655898534178
Беспонтовая,2024-03-07,750.1554311877437
Беспонтовая,2024-03-08,744.28563176996
Беспонтовая,2024-03-09,751.620022196567
Беспонтовая,2024-03-10,754.4136487394734
Беспонтовая,2024-03-11,735.5265741652574
Беспонтовая,2024-03-12,743.5659677693338
Беспонтовая,2024-03-13,746.7353265018794
Беспонтовая,2024-03-14,745.2923568173355
Беспонтовая,2024-03-15,735.1733184260828
Беспонтовая,2024-03-16,737.6227566877081
Беспонтовая,2024-03-17,734.994269409121
Беспонтовая,2024-03-18,710.2614145774033
Беспонтовая,2024-03-19,712.1564702562636
Беспонтовая,2024-03-20,709.015995152505
Беспонтовая,2024-03-21,701.2348351258985
Беспонтовая,2024-03-22,684.8864978166882
Беспонтовая,2024-03-23,681.3489447004349
Беспонтовая,2024-03-24,673.1015667071034
Беспонтовая,2024-03-25,643.2325644311575
Беспонтовая,2024-03-26,640.5745493480122
Беспонтовая,2024-03-27,633.5474072876409
Беспонтовая,2024-03-28,622.6101470395708
Беспонтовая,2024-03-29,603.879716503679
Беспонтовая,2024-03-30,598.7558769177652
Беспонтовая,2024-03-31,589.7179224398785
Беспонтовая,2024-04-01,559.832466738181
Беспонтовая,2024-04-02,557.8900933107911
Беспонтовая,2024-04-03,552.2498715909903
Беспонтовая,2024-04-04,543.293404415636
Беспонтовая,2024-04-05,527.0463158178079
Беспонтовая,2024-04-06,524.8061824834555
Беспонтовая,2024-04-07,518.9425980278199
Беспонтовая,2024-04-08,492.408485819963
Беспонтовая,2024-04-09,493.8803466695034
Беспонтовая,2024-04-10,491.60633197935925
Беспонтовая,2024-04-11,485.86369887099636
Беспонтовая,2024-04-12,472.5834528854948
Беспонтовая,2024-04-13,472.98108706390724
Беспонтовая,2024-04-14,469.3590236801873
Беспонтовая,2024-04-15,444.6198055448139
