СТАНЦИЯ,дата,Значение
Беспонтовая,2024-01-01,578.3451204292957
Беспонтовая,2024-01-02,601.6937018980113
Беспонтовая,2024-01-03,624.0291350307599
Беспонтовая,2024-01-04,653.637958240917
Беспонтовая,2024-01-05,655.0247429363669
Беспонтовая,2024-01-06,650.2616872924651
Беспонтовая,2024-01-07,628.3819853618589
Беспонтовая,2024-01-08,682.9959100022891
Беспонтовая,2024-01-09,701.9003350831154
Беспонтовая,2024-01-10,720.411616310508
Беспонтовая,2024-01-11,746.8370745068482
Беспонтовая,2024-01-12,745.6624442468265
Беспонтовая,2024-01-13,738.9034941005214
Беспонтовая,2024-01-14,715.5026608254134
Беспонтовая,2024-01-15,768.9495177804308
Беспонтовая,2024-01-16,786.8956515104105
Беспонтовая,2024-01-17,804.4936858228853
Беспонтовая,2024-01-18,829.8754942590649
Беспонтовая,2024-01-19,827.3467442740048
Беспонтовая,2024-01-20,818.7457498505937
Беспонтовая,2024-01-21,792.8472424042438
Беспонтовая,2024-01-22,842.9896518380572
Беспонтовая,2024-01-23,856.6962542388169
Беспонтовая,2024-01-24,869.0197255507153
Беспонтовая,2024-01-25,888.0249655931393
Беспонтовая,2024-01-26,877.9871879032671
Беспонтовая,2024-01-27,860.753137364474
Беспонтовая,2024-01-28,825.145967163497
Беспонтовая,2024-01-29,864.5923273373703
Беспонтовая,2024-01-30,866.7420216350508
Беспонтовая,2024-01-31,866.8098120089413
Беспонтовая,2024-02-01,873.0543135684959
Беспонтовая,2024-02-02,849.9710900073592
Беспонтовая,2024-02-03,819.6479585935252
Беспонтовая,2024-02-04,771.1632115325867
Беспонтовая,2024-02-05,798.2055041150031
Беспонтовая,2024-02-06,788.6859814465066
Беспонтовая,2024-02-07,778.0724486489787
Беспонтовая,2024-02-08,774.860756688411
Беспонтовая,2024-02-09,743.7607400854913
Беспонтовая,2024-02-10,707.0449320184291
Беспонтовая,2024-02-11,653.9409637928626
Беспонтовая,2024-02-12,678.2465770406268
Беспонтовая,2024-02-13,667.9379709170264
Беспонтовая,2024-02-14,658.501407693029
Беспонтовая,2024-02-15,658.4033319462089
Беспонтовая,2024-02-16,632.2763847204362
Беспонтовая,2024-02-17,602.269544007813
Беспонтовая,2024-02-18,557.4432649183252
Беспонтовая,2024-02-19,591.3884758174302
Беспонтовая,2024-02-20,591.8400442568425
Беспонтовая,2024-02-21,594.0144944663764
Беспонтовая,2024-02-22,606.0870609447111
Беспонтовая,2024-02-23,592.3852648173397
Беспонтовая,2024-02-24,574.7470312566685
Беспонтовая,2024-02-25,541.9239961553445
Беспонтовая,2024-02-26,587.2086275944129
Беспонтовая,2024-02-27,598.0555463562732
Беспонтовая,2024-02-28,609.4266055105452
Беспонтовая,2024-02-29,629.2746061349906
Беспонтовая,2024-03-01,621.7426486292802
Беспонтовая,2024-03-02,608.5269763743092
Беспонтовая,2024-03-03,578.2838286738872
Беспонтовая,2024-03-04,624.2588313107221
Беспонтовая,2024-03-05,633.9092485174959
Беспонтовая,2024-03-06,642.2486343784725
Беспонтовая,2024-03-07,657.3287776574222
Беспонтовая,2024-03-08,643.4359947925113
Беспонтовая,2024-03-09,622.4497197194564
Беспонтовая,2024-03-10,583.2440331945099
Беспонтовая,2024-03-11,619.3108157574834
Беспонтовая,2024-03-12,618.3750293829817
Беспонтовая,2024-03-13,615.7318671655739
Беспонтовая,2024-03-14,619.720880532106
Беспонтовая,2024-03-15,594.9143620787048
Беспонтовая,2024-03-16,563.468157386937
Беспонтовая,2024-03-17,514.5157680094944
Беспонтовая,2024-03-18,541.7846377553581
Беспонтовая,2024-03-19,533.2053178090242
Беспонтовая,2024-03-20,524.2434175692392
Беспонтовая,2024-03-21,523.3695905608367
Беспонтовая,2024-03-22,495.2449417764552
Беспонтовая,2024-03-23,462.070103506816
Беспонтовая,2024-03-24,412.97887906431953
Беспонтовая,2024-03-25,441.65534639432525
Беспонтовая,2024-03-26,435.9450798696605
Беспонтовая,2024-03-27,431.19032415472486
Беспонтовая,2024-03-28,435.704263099232
Беспонтовая,2024-03-29,413.9616335892339
Беспонтовая,2024-03-30,387.953769159168
Беспонтовая,2024-03-31,346.5887896350059
Беспонтовая,2024-04-01,383.31563033724126
Беспонтовая,2024-04-02,385.7423612912156
Беспонтовая,2024-04-03,388.9784193083558
Беспонтовая,2024-04-04,401.1156879550876
Беспонтовая,2024-04-05,386.4254766072959
Беспонтовая,2024-04-06,366.7192996950793
Беспонтовая,2024-04-07,330.7540090848786
Беспонтовая,2024-04-08,371.85983487527784
Беспонтовая,2024-04-09,377.5616758134731
Беспонтовая,2024-04-10,382.9231849988845
Беспонтовая,2024-04-11,396.0285428182122
Беспонтовая,2024-04-12,381.1789603926499
Беспонтовая,2024-04-13,360.2518418760127
Беспонтовая,2024-04-14,322.1032198623143
Беспонтовая,2024-04-15,360.1921124962412
Беспонтовая,2024-04-16,362.19726579113086
Беспонтовая,2024-04-17,363.35597422402014
Беспонтовая,2024-04-18,371.9400394542485
Беспонтовая,2024-04-19,352.4460936556735
Беспонтовая,2024-04-20,326.9484086842331
Беспонтовая,2024-04-21,284.4950020180951
Беспонтовая,2024-04-22,318.72588255583844
Беспонтовая,2024-04-23,317.484086223349
Беспонтовая,2024-04-24,316.1493672461944
Беспонтовая,2024-04-25,323.10975890780196
Беспонтовая,2024-04-26,302.94836087990825
